acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
KRP3LRMG,4,Männer II HM,Bezahlt,,12.10.2003,"Brienzerseelauf, Bönigen",4F6CBB4F90A22622BAFC3024D8407DA2,Overall Männer 21km,9,Datasport,5155,BB193C2C3CFD9EE5D3BB8FAB4A4AD67DF6275699742D2FC6224DE1235E9FAB19,Klassiert,"1:19.37,7",645
KRP3LRMG,23,Inferno Team Trophy - Open,Bezahlt,,16.08.2003,"Inferno Triathlon, Mürren",0468718EFC8CCC8F277AC8F84D19EEB9,,,Datasport,5532,32708A70F454776EAAAF84301A6C86219096E6BCF3C55C78E657E47A1AA169A6,Klassiert,"7:54.08,1",547
KRP3LRMG,16,Halbmarathon M35,Bezahlt,,25.05.2003,Winterthur Marathon,3178ED6E55E404C5D4553673691888FB,Overall Halbmarathon Männer,41,Datasport,5176,64A01E8412818CF908693228A1D94E5C84BE40886F86ACD42E7BCA6FCFFF4598,Klassiert,"1:20.52,8",706
KRP3LRMG,202,Männer M35,Bezahlt,,10.05.2003,Grand Prix von Bern,CAEBE25B726DF0662CAAA1E6BC1C55C1,Männer Grand Prix von Bern,839,Datasport,5104,0F8CB7D7DCF63D0B8242D9790D16D9066DED1029D396AF565A92B234A7EFF4F8,Klassiert,"1:06.12,4",2370
KRP3LRMG,289,Men M30,Bezahlt,,13.04.2003,Zürich Marathon,C982AEA9426069F9421298E89446359D,Overall Men,579,Datasport,5913,39862DE5049A178DAEB194561C1196D59A89847FAAEB20DAF99DEF5FABCD5250,Klassiert,"3:14.25,3",4823
KRP3LRMG,83,(M35) 15 km Männer 35-39 Jahre,Bezahlt,,15.03.2003,Kerzerslauf,8BEFF42CC76411E81ACD0EB062E21C89,Overall 15 km,456,Datasport,5101,053B79B690A8193F898BA9DCB1C7FD170B2820C1B1DD5368458A3E25F5F4C0C5,Klassiert,"1:00.46,8",2150
KRP3LRMG,12,Männer II,Bezahlt,,13.10.2002,"Brienzerseelauf, Bönigen",A37D9DE30F080AE954D38B20FAF72B4F,Overall Männer 35km,38,Datasport,4155,99C149B393E4ECACC5494895E3EFB27DCFAF1F72008E8AFBD393E8432CE6914C,Klassiert,"2:36.22,0",204
KRP3LRMG,44,Samstag - Männer 20,Bezahlt,,07.09.2002,"Jungfrau-Marathon, Interlaken",9D9209211A8FDB733C38A89BEC825D29,Samstag Männer,89,Datasport,4106,C3A766C8EF38CC6AD6B0E9F5317ABD00699603BA4AC3EA04815BFB6D552ED88E,Klassiert,"4:02.54,6",3405
KRP3LRMG,40,Inferno-HM Hauptklasse,Bezahlt,,17.08.2002,"Inferno Halbmarathon, Mürren",E52A8EE98011702544C10588219D64EF,Overall Männer,72,Datasport,4141,E535F4E0502D1930CEB6C1C52F0BEBE4E9A81785972443BC9D43514315EDE613,Klassiert,"2:41.45,4",1324
KRP3LRMG,303,Männer M35,Bezahlt,,11.05.2002,Grand Prix von Bern,BCB8967840AF21FD92BFEA3D00F4B8CF,Männer Grand Prix von Bern,1359,Datasport,4104,294A75F44739FF52E5FA451FE1F36A2862CEC628B901BA10416D50060534D58D,Klassiert,"1:07.50,8",3642
KRP3LRMG,174,(M35) 15 km Männer 35-39 Jahre,Bezahlt,,16.03.2002,Kerzerslauf,45DDE80438DD276D936B4AB2AAD5F883,Overall 15 km,845,Datasport,4101,3ECEB8FEE59719B4B238E85B143673E3CA8CB51B200C35D33007D28B9045D979,Klassiert,"1:05.43,0",3513
KRP3LRMG,41,Männer II,Bezahlt,,14.10.2001,"Brienzerseelauf, Bönigen",03ECA063947368C02795EC2AFC65EB8F,Overall Männer 35km,136,Datasport,3155,0A72055139162552A971DC5516F80905A34CAA71EA62292BB209C3693A76B37D,Klassiert,"2:57.01,3",20
KRP3LRMG,378,Männer 20,Bezahlt,,01.09.2001,"Jungfrau-Marathon, Interlaken",E73CB1F7CC9A270E3C72B5930B72FB9B,Overall Männer,706,Datasport,3106,38DDDDAFC08969AEA5B4FF5FCAE552B9282833EA216DA94DF3667A5FD6C0949B,Klassiert,"4:21.28,7",3520
KRP3LRMG,73,Männer Elite,Bezahlt,,22.07.2001,Adelbodenlauf,CC59EE70E6D47E82A0637484CFDDF3FF,Herren Gesamtrangliste,130,Datasport,3134,C57138E0EAA4017E9BE39506B315A238C02E1CC75F00171869A051427EF85210,Klassiert,"1:44.18,7",477
KRP3LRMG,480,Männer M35,Bezahlt,,12.05.2001,Grand Prix von Bern,0FABDD677CF88E2D50F1F61F8E55BF7E,Männer Grand Prix von Bern,2393,Datasport,3104,6B4807280766C685DB13C1AC297E4B41CD4D4A032AB808935122BA41729681BC,Klassiert,"1:14.40,4",3652
KRP3LRMG,376,Männer 20,Bezahlt,,02.09.2000,"Jungfrau-Marathon, Interlaken",B0E12C782DD8DFFAAF2CF32E933FFAC2,Overall Männer,685,Datasport,2106,3B07F9B45BE1D303DF9AEF267669F034CFE9BC043BA9209FF1C35DF584FC169E,Klassiert,"4:24.09,2",3486
KRP3LRMG,393,Männer M30,Bezahlt,,13.05.2000,Grand Prix von Bern,975491F3F8E73D2441880A7D60A7075C,Männer Grand Prix von Bern,2097,Datasport,2104,270D6C6335F4C48B548CBD549406487F5A2E51EA4839785ED5DDB29DEFD82E5A,Klassiert,"1:11.08,2",4658
KRP4CRMS,243,Marathon Männer 50,Bezahlt,Keine Zahlung,12.09.2015,"Jungfrau-Marathon, Interlaken",AAC6A9E7457E7FC2A550B3F120906A18,Marathon Overall Männer,1393,Datasport,17106,2D4BCBB1520ED20C27208E80E4E6AB2E9EF95B04595061D464A6B4EE2AE25850,Klassiert,"5:15.17,8",1438
KRP4CRMS,77,(M50) 15 km Männer 50-54 Jahre,Bezahlt,Keine Zahlung,21.03.2015,Kerzerslauf,F017C37F92D7A1536E7B9BF1B3099218,15 km Männer,676,Datasport,17101,4CCFD7D397A4FED0507F4187FB5C0B6B79236DC6F103B37F7018926821D624A0,Klassiert,"1:05.25,8",2259
KRP4CRMS,,15 km Männer M40,Bezahlt,Online,02.11.2014,"Gurtenclassic, Wabern",AAC0F8CFDFA89F3E1015B411CB0A00EB,Overall Lauf 15 km Männer,,Datasport,16160,3D79541793A82EB34790DE799985BB60D2AFB484747330561BD9972EA7BCA1FA,Nicht Klassiert,,168
KRP4CRMS,192,Marathon Männer M40,Bezahlt,Post/Bank,26.10.2014,"SwissCityMarathon - Lucerne, Luzern",91BE0E21ECDA142FBC07AA63B2EA3FE1,Marathon Männer,501,Datasport,16248,B99166E8D04BCFAD84FE07F5C072439064DB36FE4A4384ABB70CB7B16CB6761E,Klassiert,"3:41.08,6",95
KRP4CRMS,149,"21,1km Männer M45",Bezahlt,Keine Zahlung,21.09.2013,"Int Greifenseelauf, Uster",D5FB88F1A4E1FF1F0BC94977B7A288F5,"21,1km Herren Overall",980,Datasport,15108,19447BF9531542D11C4BDAC6C1B2EAFE11D7FE9CA2EB8CF03C60A284BEB7A680,Klassiert,"1:38.58,3",1009
KRP4CRMS,201,11.0km Männer M40,Bezahlt,Post/Bank,23.02.2013,ASICS Bremgarter Reusslauf,C2634406A1AC70AA39C211E327F948E7,11.0km Männer Overall,600,Datasport,15194,C697A8CAFFE519A248D937961A61316A36A9F3BFF44E9017B6C1AAADC0C2CCFA,Klassiert,"48.30,8",2402
KRP4CRMS,76,(M45) 15 km Männer 45-49 Jahre,Bezahlt,Post/Bank,19.03.2011,Kerzerslauf,BF299A34ACB50AB7572E2F3056DBE89E,15 km Männer,471,Datasport,13101,650D030D4A901FF12A8BC31D90F222B27AC0C9B5147162AE964076E8463633F4,Klassiert,"1:02.59,6",2124
KRP4CRMS,143,Hommes M45,Bezahlt,Post/Bank,02.10.2010,Morat-Fribourg,B52C31CCFF3A41C591916854A0119427,Overall Hommes,1031,Datasport,12109,0DA587996EA7742031060D53280882D1CD0333269BBDEB8D8C7AFEB30FFB2716,Klassiert,"1:20.51,9",2712
